product_id,component_id,qty_per_unit,standard_lead_days,criticality_score
DRILL_01,CABLE_R,10,8,0.7
DRILL_01,CASING_B,20,7,0.6
DRILL_01,SWITCH_S,1,6,0.65
DRILL_01,BLADE_X,2,12,0.85
DRILL_02,BEARING_01,2,11,0.8
DRILL_02,MOTOR_X,1,14,0.95
DRILL_02,BATTERY_A,4,10,0.9
DRILL_02,BLADE_X,2,12,0.85
DRILL_02,CABLE_R,20,8,0.7
DRILL_02,SCREW_M4,10,5,0.4
DRILL_02,SWITCH_S,20,6,0.65
GRINDER_01,BATTERY_A,2,10,0.9
GRINDER_01,BEARING_01,2,11,0.8
GRINDER_01,SCREW_M4,1,5,0.4
GRINDER_01,CASING_B,1,7,0.6
GRINDER_01,SWITCH_S,2,6,0.65
GRINDER_01,BLADE_X,4,12,0.85
GRINDER_01,MOTOR_X,10,14,0.95
SAW_01,SCREW_M4,4,5,0.4
SAW_01,BATTERY_A,20,10,0.9
SAW_01,MOTOR_X,10,14,0.95
SAW_01,CABLE_R,20,8,0.7
DRILL_03,BEARING_01,2,11,0.8
DRILL_03,CASING_B,2,7,0.6
DRILL_03,CABLE_R,20,8,0.7
DRILL_03,BATTERY_A,10,10,0.9
DRILL_03,SWITCH_S,1,6,0.65
DRILL_03,SCREW_M4,1,5,0.4
DRILL_03,BLADE_X,2,12,0.85
