vendor_id,month,port_congestion_idx,weather_risk_score,news_sentiment,currency_volatility
VND_ALPHA,1,3.7,2.96,-0.026,1.609
VND_ALPHA,2,2.97,1.37,0.254,1.307
VND_ALPHA,3,2.73,2.14,-0.359,0.814
VND_ALPHA,4,3.44,0.0,-0.737,0.775
VND_ALPHA,5,2.19,1.91,-0.492,0.435
VND_ALPHA,6,4.67,1.37,-0.2,0.43
VND_ALPHA,7,2.66,1.71,-0.565,1.15
VND_ALPHA,8,2.6,1.31,-0.401,1.741
VND_ALPHA,9,3.19,0.54,0.027,0.512
VND_ALPHA,10,3.41,0.0,-0.618,1.079
VND_ALPHA,11,3.94,3.27,-0.255,0.88
VND_ALPHA,12,1.72,2.38,-0.358,1.423
VND_BETA,1,8.49,4.94,-0.843,2.646
VND_BETA,2,7.47,5.81,-0.631,3.173
VND_BETA,3,7.31,4.89,-0.841,3.19
VND_BETA,4,7.67,5.01,-1.0,2.322
VND_BETA,5,8.96,6.56,-0.962,3.201
VND_BETA,6,8.51,4.55,-0.832,3.415
VND_BETA,7,8.11,6.76,-1.0,3.129
VND_BETA,8,8.24,4.9,-0.912,2.005
VND_BETA,9,7.93,5.56,-0.497,2.593
VND_BETA,10,7.34,4.7,-0.665,2.932
VND_BETA,11,7.62,7.21,-0.911,3.187
VND_BETA,12,7.45,6.37,-1.0,2.215
VND_GAMMA,1,1.85,2.16,0.022,0.306
VND_GAMMA,2,0.13,0.0,-0.083,0.079
VND_GAMMA,3,1.39,0.8,0.586,0.47
VND_GAMMA,4,1.81,0.33,-0.556,0.389
VND_GAMMA,5,1.61,2.86,-0.038,0.521
VND_GAMMA,6,1.52,0.0,0.363,0.701
VND_GAMMA,7,2.34,0.0,0.441,0.0
VND_GAMMA,8,2.14,2.59,-0.277,0.173
VND_GAMMA,9,1.65,0.0,-0.445,0.427
VND_GAMMA,10,0.49,0.87,-0.256,1.02
VND_GAMMA,11,0.77,1.58,0.264,0.0
VND_GAMMA,12,1.78,3.21,-0.462,0.474
VND_DELTA,1,10.0,9.08,-1.0,3.072
VND_DELTA,2,10.0,7.1,-1.0,3.739
VND_DELTA,3,9.67,7.03,-1.0,3.314
VND_DELTA,4,10.0,7.27,-1.0,3.863
VND_DELTA,5,9.38,7.59,-0.912,3.272
VND_DELTA,6,10.0,7.21,-1.0,4.359
VND_DELTA,7,10.0,6.05,-1.0,3.274
VND_DELTA,8,10.0,7.14,-1.0,3.931
VND_DELTA,9,10.0,8.25,-1.0,4.688
VND_DELTA,10,10.0,5.94,-1.0,3.793
VND_DELTA,11,10.0,9.01,-1.0,3.571
VND_DELTA,12,9.5,6.79,-1.0,3.943
VND_EPSILON,1,5.06,3.05,-0.408,1.754
VND_EPSILON,2,3.97,2.95,-0.443,1.143
VND_EPSILON,3,5.21,3.36,-0.135,2.022
VND_EPSILON,4,3.47,1.86,-0.305,1.806
VND_EPSILON,5,5.37,6.65,-0.289,2.054
VND_EPSILON,6,5.8,3.45,-0.555,1.904
VND_EPSILON,7,4.08,2.56,-0.606,1.633
VND_EPSILON,8,7.16,0.93,-0.254,0.955
VND_EPSILON,9,4.38,3.89,-0.441,1.169
VND_EPSILON,10,4.13,3.48,-0.679,1.687
VND_EPSILON,11,4.9,3.65,0.183,1.854
VND_EPSILON,12,2.82,4.49,-0.659,1.941
VND_ZETA,1,1.09,2.03,0.123,0.866
VND_ZETA,2,0.68,0.31,-0.17,0.259
VND_ZETA,3,3.65,1.04,-0.406,0.887
VND_ZETA,4,4.0,1.67,-0.484,0.326
VND_ZETA,5,3.15,0.0,0.105,0.83
VND_ZETA,6,0.95,0.58,-1.0,0.11
VND_ZETA,7,1.63,0.0,0.462,0.0
VND_ZETA,8,1.44,0.77,0.404,0.0
VND_ZETA,9,3.04,0.65,-0.322,0.705
VND_ZETA,10,2.08,0.04,-0.007,0.366
VND_ZETA,11,1.99,2.8,0.448,0.025
VND_ZETA,12,4.01,0.19,-0.074,0.755
