vendor_id,component_id,promised_date,actual_date,qty_ordered,qty_received,order_month,seasonal_flag,component_lead_days,criticality_score,on_time_rate_12m,hist_avg_delay_days,hist_fulfillment_rate,port_congestion_idx,weather_risk_score,news_sentiment,currency_volatility,high_risk,delay_days,fulfillment_ratio
VND_ALPHA,BATTERY_A,2022-07-18,2022-07-19,2206,1996,7,0,10,0.9,0.8117,0.803,0.9423,2.66,1.71,-0.565,1.15,0,1,0.9048050770625566
VND_BETA,SCREW_M4,2021-07-29,2021-08-02,5743,5534,7,0,5,0.4,0.6081,2.945,0.8974,8.11,6.76,-1.0,3.129,0,4,0.9636078704509838
VND_EPSILON,BATTERY_A,2023-05-15,2023-05-15,460,405,5,0,10,0.9,0.7599,1.744,0.9294,5.37,6.65,-0.289,2.054,0,0,0.8804347826086957
VND_ALPHA,MOTOR_X,2022-03-24,2022-03-25,2105,1896,3,0,14,0.95,0.8665,1.621,0.9468,2.73,2.14,-0.359,0.814,0,1,0.9007125890736342
VND_EPSILON,MOTOR_X,2022-02-12,2022-02-16,6065,5651,2,0,14,0.95,0.7573,1.376,0.9397,3.97,2.95,-0.443,1.143,1,4,0.9317394888705688
VND_BETA,SWITCH_S,2023-07-09,2023-07-11,5027,5027,7,0,6,0.65,0.5926,2.083,0.8666,8.11,6.76,-1.0,3.129,1,2,1.0
VND_ALPHA,BLADE_X,2021-11-23,2021-11-26,5919,5919,11,1,12,0.85,0.845,1.251,0.9596,3.94,3.27,-0.255,0.88,0,3,1.0
VND_GAMMA,SWITCH_S,2022-07-24,2022-07-24,1473,1187,7,0,6,0.65,1.0,0.176,1.0,2.34,0.0,0.441,0.0,0,0,0.8058384249830278
VND_GAMMA,SCREW_M4,2021-07-29,2021-07-29,959,901,7,0,5,0.4,0.9171,0.397,0.9973,2.34,0.0,0.441,0.0,0,0,0.9395203336809176
VND_ALPHA,SWITCH_S,2023-01-06,2023-01-06,7142,7142,1,1,6,0.65,0.8549,1.462,0.9457,3.7,2.96,-0.026,1.609,1,0,1.0
VND_EPSILON,CABLE_R,2022-06-26,2022-06-26,6811,6206,6,0,8,0.7,0.7424,2.09,0.9557,5.8,3.45,-0.555,1.904,0,0,0.9111731023344589
VND_ZETA,MOTOR_X,2023-07-30,2023-07-30,4592,4377,7,0,14,0.95,0.9298,0.127,0.9786,1.63,0.0,0.462,0.0,0,0,0.9531794425087108
VND_DELTA,BATTERY_A,2021-06-11,2021-06-16,4722,3292,6,0,10,0.9,0.4008,5.113,0.7667,10.0,7.21,-1.0,4.359,1,5,0.6971622193985599
VND_ZETA,BLADE_X,2023-01-11,2023-01-12,4929,4681,1,1,12,0.85,0.9483,0.428,1.0,1.09,2.03,0.123,0.866,1,1,0.949685534591195
VND_ZETA,SCREW_M4,2021-05-23,2021-05-23,575,524,5,0,5,0.4,0.931,0.599,1.0,3.15,0.0,0.105,0.83,0,0,0.9113043478260869
VND_GAMMA,SCREW_M4,2021-06-13,2021-06-14,7206,7206,6,0,5,0.4,1.0,0.256,1.0,1.52,0.0,0.363,0.701,0,1,1.0
VND_ALPHA,SCREW_M4,2023-02-18,2023-02-18,2477,2247,2,0,5,0.4,0.735,0.79,0.9372,2.97,1.37,0.254,1.307,1,0,0.9071457408155026
VND_ZETA,BEARING_01,2023-01-18,2023-01-18,1532,1243,1,1,11,0.8,0.9445,0.629,1.0,1.09,2.03,0.123,0.866,0,0,0.8113577023498695
VND_GAMMA,CABLE_R,2022-03-06,2022-03-05,5690,5690,3,0,8,0.7,0.9972,0.112,0.9386,1.39,0.8,0.586,0.47,1,-1,1.0
VND_ZETA,BLADE_X,2021-05-27,2021-05-29,5190,5190,5,0,12,0.85,0.9411,-0.581,0.953,3.15,0.0,0.105,0.83,0,2,1.0
VND_EPSILON,CASING_B,2022-05-17,2022-05-18,1538,1436,5,0,7,0.6,0.712,1.749,0.898,5.37,6.65,-0.289,2.054,1,1,0.9336801040312094
VND_DELTA,BEARING_01,2022-07-07,2022-07-11,7780,5053,7,0,11,0.8,0.4014,4.924,0.8162,10.0,6.05,-1.0,3.274,1,4,0.6494858611825193
VND_ZETA,SCREW_M4,2022-10-27,2022-10-27,7104,6494,10,0,5,0.4,0.992,0.446,1.0,2.08,0.04,-0.007,0.366,0,0,0.9141328828828829
VND_BETA,MOTOR_X,2021-03-07,2021-03-09,6794,6592,3,0,14,0.95,0.5566,2.392,0.8719,7.31,4.89,-0.841,3.19,1,2,0.9702678834265528
VND_DELTA,CABLE_R,2022-07-03,2022-07-09,742,660,7,0,8,0.7,0.3414,4.774,0.8018,10.0,6.05,-1.0,3.274,1,6,0.889487870619946
VND_EPSILON,SCREW_M4,2022-10-07,2022-10-05,1941,1941,10,0,5,0.4,0.7245,1.58,0.8649,4.13,3.48,-0.679,1.687,1,-2,1.0
VND_DELTA,BEARING_01,2023-07-29,2023-08-08,1370,888,7,0,11,0.8,0.3119,4.478,0.7815,10.0,6.05,-1.0,3.274,1,10,0.6481751824817519
VND_BETA,BLADE_X,2022-05-21,2022-05-23,6302,6168,5,0,12,0.85,0.4924,2.751,0.8777,8.96,6.56,-0.962,3.201,1,2,0.9787369089178038
VND_ZETA,BLADE_X,2023-05-28,2023-05-28,7554,6778,5,0,12,0.85,0.9094,-0.024,0.9781,3.15,0.0,0.105,0.83,0,0,0.8972729679639926
VND_GAMMA,SWITCH_S,2022-03-26,2022-03-27,1333,1267,3,0,6,0.65,0.931,-0.026,0.9732,1.39,0.8,0.586,0.47,0,1,0.9504876219054764
VND_ALPHA,BEARING_01,2021-04-07,2021-04-07,7254,6302,4,0,11,0.8,0.7979,0.521,1.0,3.44,0.0,-0.737,0.775,0,0,0.8687620623104494
VND_BETA,BATTERY_A,2021-11-24,2021-11-27,6688,6188,11,1,10,0.9,0.5982,3.141,0.8614,7.62,7.21,-0.911,3.187,1,3,0.9252392344497608
VND_EPSILON,SWITCH_S,2021-05-11,2021-05-11,3352,2947,5,0,6,0.65,0.719,0.579,0.8845,5.37,6.65,-0.289,2.054,0,0,0.8791766109785203
VND_EPSILON,SWITCH_S,2023-08-17,2023-08-21,4534,4534,8,0,6,0.65,0.6905,1.511,0.9591,7.16,0.93,-0.254,0.955,0,4,1.0
VND_EPSILON,BLADE_X,2021-01-24,2021-01-25,5772,4882,1,1,12,0.85,0.6657,1.581,0.9073,5.06,3.05,-0.408,1.754,0,1,0.8458073458073458
VND_ZETA,BATTERY_A,2022-07-01,2022-06-30,6496,5759,7,0,10,0.9,0.9038,0.091,0.9695,1.63,0.0,0.462,0.0,0,-1,0.8865455665024631
VND_ALPHA,CABLE_R,2022-08-25,2022-08-29,3761,3761,8,0,8,0.7,0.8197,1.592,0.9623,2.6,1.31,-0.401,1.741,0,4,1.0
VND_DELTA,CASING_B,2021-01-07,2021-01-09,6115,4471,1,1,7,0.6,0.4433,4.345,0.7499,10.0,9.08,-1.0,3.072,1,2,0.7311529026982829
VND_EPSILON,BLADE_X,2022-01-01,2022-01-04,4358,4358,1,1,12,0.85,0.6741,1.725,0.9105,5.06,3.05,-0.408,1.754,0,3,1.0
VND_ZETA,BATTERY_A,2022-09-04,2022-09-04,7094,6434,9,0,10,0.9,0.9082,-0.601,1.0,3.04,0.65,-0.322,0.705,1,0,0.9069636312376657
VND_BETA,SCREW_M4,2023-02-05,2023-02-07,6446,5157,2,0,5,0.4,0.5269,3.102,0.895,7.47,5.81,-0.631,3.173,0,2,0.8000310269934844
VND_EPSILON,CASING_B,2023-12-23,2023-12-23,7724,7724,12,1,7,0.6,0.7948,1.873,0.9071,2.82,4.49,-0.659,1.941,0,0,1.0
VND_EPSILON,MOTOR_X,2022-10-26,2022-10-26,4202,3240,10,0,14,0.95,0.6649,1.519,0.9378,4.13,3.48,-0.679,1.687,0,0,0.7710613993336506
VND_ALPHA,MOTOR_X,2023-01-14,2023-01-14,7398,6360,1,1,14,0.95,0.8307,2.114,0.9117,3.7,2.96,-0.026,1.609,0,0,0.8596918085969181
VND_BETA,BLADE_X,2021-04-29,2021-04-29,2173,1838,4,0,12,0.85,0.5903,2.569,0.9051,7.67,5.01,-1.0,2.322,0,0,0.8458352508053383
VND_ALPHA,BATTERY_A,2023-09-23,2023-09-22,6884,6170,9,0,10,0.9,0.9174,0.292,0.929,3.19,0.54,0.027,0.512,1,-1,0.8962812318419524
VND_EPSILON,BATTERY_A,2021-09-15,2021-09-17,1251,1096,9,0,10,0.9,0.7335,1.438,0.965,4.38,3.89,-0.441,1.169,0,2,0.8760991207034372
VND_EPSILON,BEARING_01,2021-12-05,2021-12-07,2371,2080,12,1,11,0.8,0.7535,1.373,0.9204,2.82,4.49,-0.659,1.941,1,2,0.8772669759595108
VND_BETA,SWITCH_S,2022-02-16,2022-02-19,6040,6040,2,0,6,0.65,0.5848,2.67,0.916,7.47,5.81,-0.631,3.173,1,3,1.0
VND_DELTA,BLADE_X,2023-02-04,2023-02-07,3788,2691,2,0,12,0.85,0.2908,4.921,0.7447,10.0,7.1,-1.0,3.739,1,3,0.7104012671594508
VND_ALPHA,BEARING_01,2022-05-23,2022-05-24,2040,1919,5,0,11,0.8,0.8532,0.116,0.9671,2.19,1.91,-0.492,0.435,0,1,0.9406862745098039
VND_GAMMA,BATTERY_A,2021-02-13,2021-02-14,5019,5019,2,0,10,0.9,0.9728,-0.05,0.978,0.13,0.0,-0.083,0.079,0,1,1.0
VND_EPSILON,SCREW_M4,2022-03-28,2022-03-30,258,258,3,0,5,0.4,0.7373,1.599,0.9162,5.21,3.36,-0.135,2.022,0,2,1.0
VND_ZETA,BATTERY_A,2021-05-01,2021-05-01,2075,2075,5,0,10,0.9,0.9461,0.261,1.0,3.15,0.0,0.105,0.83,0,0,1.0
VND_ALPHA,BATTERY_A,2022-11-08,2022-11-08,780,681,11,1,10,0.9,0.8022,1.151,0.9827,3.94,3.27,-0.255,0.88,0,0,0.8730769230769231
VND_GAMMA,SCREW_M4,2023-09-22,2023-09-22,1955,1955,9,0,5,0.4,0.9903,-0.353,0.9984,1.65,0.0,-0.445,0.427,0,0,1.0
